state,year,type,source,descrip,spon_names_raw,spon_names_clean,spon_total,spon_women,spon_men,prop_spon_women,spon_white,spon_black,spon_hispanic,spon_asian,spon_native,spon_islander,spon_other,spon_minority,spon_dem,spon_rep,spon_thi,spon_np,prop_spon_dem
Hawaii,2016,contra_ex_sup,SB 2319,Mandated insurance coverage for 12-month FDA approved prescription contraceptives.,"Sen. Michelle Kidani [D], Sen. Rosalyn Baker [D], Sen. Suzanne Chun Oakland [D], Sen. Josh Green [D], Sen. Lorraine Inouye [D], Sen. Maile Shimabukuro [D], Sen. Jill Tokuda [D], Sen. William Espero [D], Sen. Les Ihara [D]","Sen. Michelle Kidani [D], Sen. Rosalyn Baker [D], Sen. Suzanne Chun Oakland [D], Sen. Josh Green [D], Sen. Lorraine Inouye [D], Sen. Maile Shimabukuro [D], Sen. Jill Tokuda [D], Sen. William Espero [D], Sen. Les Ihara [D]",9,6,3,0.6666666667,,,,,,,,0,9,0,0,0,1
Hawaii,2016,contra_script,SB 2319,Mandated insurance coverage for FDA-Approved contraceptives with a prescription. ,"Sen. Michelle Kidani [D], Sen. Rosalyn Baker [D], Sen. Suzanne Chun Oakland [D], Sen. Josh Green [D], Sen. Lorraine Inouye [D], Sen. Maile Shimabukuro [D], Sen. Jill Tokuda [D], Sen. William Espero [D], Sen. Les Ihara [D]","Sen. Michelle Kidani [D], Sen. Rosalyn Baker [D], Sen. Suzanne Chun Oakland [D], Sen. Josh Green [D], Sen. Lorraine Inouye [D], Sen. Maile Shimabukuro [D], Sen. Jill Tokuda [D], Sen. William Espero [D], Sen. Les Ihara [D]",9,6,3,0.6666666667,,,,,,,,0,9,0,0,0,1
Hawaii,2017,contra_script,SB 513,Mandated insurance coverage for FDA-Approved contraceptives with a prescription. ,"Sen. Rosalyn Baker [D], Sen. Lorraine Inouye [D], Sen. Michelle Kidani [D], Sen. Maile Shimabukuro [D], Sen. Jill Tokuda [D], Sen. Donna Kim [D]","Sen. Rosalyn Baker [D], Sen. Lorraine Inouye [D], Sen. Michelle Kidani [D], Sen. Maile Shimabukuro [D], Sen. Jill Tokuda [D], Sen. Donna Kim [D]",6,6,0,1,,,,,,,,0,6,0,0,0,1
Hawaii,2019,contra_script,SB 25,Mandated insurance coverage for FDA-Approved contraceptives with a prescription. ,Sen. Kalani English [D],Sen. Kalani English [D],1,1,0,1,,,,,,,,0,1,0,0,0,1
Hawaii,2022,gen_affirm_man,HB 2405,Mandated insurance coverage for gender affirming surgery.,"Rep. Aaron Johanson [D]	Rep. Della au Belatti [D]	Rep. Patrick Branco [D]	Rep. Ty Cullen [D]
Rep. Cedric Gates [D]	Sen. Troy Hashimoto [D]	Rep. Linda Ichiyama [D]	Rep. Greggor Ilagan [D]
Rep. Jeanne Kapela [D]	Rep. Nicole Lowen [D]	Rep. Lisa Marten [D]	Rep. Scot Matayoshi [D]
Rep. Lauren Matsumoto [R]	Sen. Angus McKelvey [D]	Rep. Daynette Morikawa [D]	Rep. Nadine Nakamura [D]
Rep. Mark Nakashima [D]	Rep. Scott Nishimoto [D]	Rep. Richard Onishi [D]	Rep. Amy Perruso [D]
Rep. Adrian Tam [D]	Rep. David Tarnas [D]	Rep. Chris Todd [D]	Rep. Tina Wildberger [D]
Rep. Kyle Yamashita [D]","Rep. Aaron Johanson [D], Rep. Della au Belatti [D], Rep. Patrick Branco [D], Rep. Ty Cullen [D], Rep. Cedric Gates [D], Sen. Troy Hashimoto [D], Rep. Linda Ichiyama [D], Rep. Greggor Ilagan [D], Rep. Jeanne Kapela [D], Rep. Nicole Lowen [D], Rep. Lisa Marten [D], Rep. Scot Matayoshi [D], Rep. Lauren Matsumoto [R], Sen. Angus McKelvey [D], Rep. Daynette Morikawa [D], Rep. Nadine Nakamura [D], Rep. Mark Nakashima [D], Rep. Scott Nishimoto [D], Rep. Richard Onishi [D], Rep. Amy Perruso [D], Rep. Adrian Tam [D], Rep. David Tarnas [D], Rep. Chris Todd [D], Rep. Tina Wildberger [D], Rep. Kyle Yamashita [D]",25,10,15,0.4,,,,,,,,0,24,1,0,0,0.96
Hawaii,2022,horm_ther,HB 2405,"Mandated insurance coverage for hormone therapy, anti-discrimination.","Rep. Aaron Johanson [D]	Rep. Della au Belatti [D]	Rep. Patrick Branco [D]	Rep. Ty Cullen [D]
Rep. Cedric Gates [D]	Sen. Troy Hashimoto [D]	Rep. Linda Ichiyama [D]	Rep. Greggor Ilagan [D]
Rep. Jeanne Kapela [D]	Rep. Nicole Lowen [D]	Rep. Lisa Marten [D]	Rep. Scot Matayoshi [D]
Rep. Lauren Matsumoto [R]	Sen. Angus McKelvey [D]	Rep. Daynette Morikawa [D]	Rep. Nadine Nakamura [D]
Rep. Mark Nakashima [D]	Rep. Scott Nishimoto [D]	Rep. Richard Onishi [D]	Rep. Amy Perruso [D]
Rep. Adrian Tam [D]	Rep. David Tarnas [D]	Rep. Chris Todd [D]	Rep. Tina Wildberger [D]
Rep. Kyle Yamashita [D]","Rep. Aaron Johanson [D], Rep. Della au Belatti [D], Rep. Patrick Branco [D], Rep. Ty Cullen [D], Rep. Cedric Gates [D], Sen. Troy Hashimoto [D], Rep. Linda Ichiyama [D], Rep. Greggor Ilagan [D], Rep. Jeanne Kapela [D], Rep. Nicole Lowen [D], Rep. Lisa Marten [D], Rep. Scot Matayoshi [D], Rep. Lauren Matsumoto [R], Sen. Angus McKelvey [D], Rep. Daynette Morikawa [D], Rep. Nadine Nakamura [D], Rep. Mark Nakashima [D], Rep. Scott Nishimoto [D], Rep. Richard Onishi [D], Rep. Amy Perruso [D], Rep. Adrian Tam [D], Rep. David Tarnas [D], Rep. Chris Todd [D], Rep. Tina Wildberger [D], Rep. Kyle Yamashita [D]",25,10,15,0.4,,,,,,,,0,24,1,0,0,0.96
Idaho,2011,abor_lim,SB 1115,Marketplace Limitations: 2011,,,0,,,0,,,,,,,,0,,,,,0
Idaho,2024,contra_ex_sup,SB 1234,Mandated insurance coverage for 6-month FDA approved prescription contraceptives.,"Senate Commerce and Human Resources Committee, Sen. Jim Guthrie [R], Rep. Ned Burns [D], Sen. Linda Hartgen [R], Rep. Susan Chew [D], Sen. Abby Lee [R], Rep. Chenele Dixon [R], Sen. James Ruchti [D], Rep. Lori McCann [R], Sen. Ron Taylor [D], Rep. Josh Wheeler [R], Sen. Janie Ward-Engelking [D], Rep. Dan Garner [R], Rep. Richard Cheatum [R], Rep. Julie Yamamoto [R], Rep. Christopher Allgood [R], Rep. Jeff Cornilles [R], Rep. Clay Handy [R], Rep. Rod Furniss [R], Rep. Stephanie Mickelsen [R], Rep. John Vander Woude [R], Rep. Kenny Wroten [R], Rep. James Holtzclaw [R]","Senate Commerce and Human Resources Committee, Sen. Jim Guthrie [R], Rep. Ned Burns [D], Sen. Linda Hartgen [R], Rep. Susan Chew [D], Sen. Abby Lee [R], Rep. Chenele Dixon [R], Sen. James Ruchti [D], Rep. Lori McCann [R], Sen. Ron Taylor [D], Rep. Josh Wheeler [R], Sen. Janie Ward-Engelking [D], Rep. Dan Garner [R], Rep. Richard Cheatum [R], Rep. Julie Yamamoto [R], Rep. Christopher Allgood [R], Rep. Jeff Cornilles [R], Rep. Clay Handy [R], Rep. Rod Furniss [R], Rep. Stephanie Mickelsen [R], Rep. John Vander Woude [R], Rep. Kenny Wroten [R], Rep. James Holtzclaw [R]",22,8,14,0.3636363636,,,,,,,,0,5,17,0,0,0.2272727273
Illinois,2015,contra_no_share,HB 5576,No cost sharing for over the counter FDA approved contraceptives.,"Rep. Elaine Nekritz [D], Rep. Litesa Wallace [D], Rep. Silvana Tabares [D], Sen. Sara Feigenholtz [D], Rep. Martin Moylan [D], Rep. Robyn Gabel [D], Rep. Jaime Andrade [D], Rep. Carol Ammons [D], Rep. Kelly Cassidy [D], Rep. Emanuel Welch [D], Sen. Laura Fine [D], Sen. Robert Martwick [D], Rep. William Davis [D], Rep. Camille Lilly [D], Rep. Will Guzzardi [D], Rep. Cynthia Soto [D], Rep. Elizabeth Hernandez [D], Rep. Anna Moeller [D], Rep. Christian Mitchell [D], Rep. Rita Mayfield [D], Rep. Scott Drury [D], Rep. Ann Williams [D], Rep. Linda LaVia [D], Rep. Natalie Manley [D], Rep. Daniel Burke [D], Rep. Luis Arroyo [D], Rep. Gregory Harris [D], Rep. Sam Yingling [D], Rep. Michelle Mussman [D], Rep. Sonya Harper [D], Rep. Carol Sente [D], Rep. Emily McAsey [D], Sen. Toi Hutchinson [D], Sen. Kimberly Lightford [D], Sen. Heather Steans [D], Sen. Jacqueline Collins [D], Sen. Melinda Bush [D], Sen. Laura Murphy [D], Sen. Patricia Van Pelt [D], Sen. Julie Morrison [D], Sen. Linda Holmes [D], Sen. Don Harmon [D], Sen. Daniel Biss [D], Sen. Iris Martinez [D], Sen. Michael Hastings [D], Sen. Emil Jones [D], Sen. Mattie Hunter [D], Sen. William Delgado [D], Sen. Martin Sandoval [D]","Rep. Elaine Nekritz [D], Rep. Litesa Wallace [D], Rep. Silvana Tabares [D], Sen. Sara Feigenholtz [D], Rep. Martin Moylan [D], Rep. Robyn Gabel [D], Rep. Jaime Andrade [D], Rep. Carol Ammons [D], Rep. Kelly Cassidy [D], Rep. Emanuel Welch [D], Sen. Laura Fine [D], Sen. Robert Martwick [D], Rep. William Davis [D], Rep. Camille Lilly [D], Rep. Will Guzzardi [D], Rep. Cynthia Soto [D], Rep. Elizabeth Hernandez [D], Rep. Anna Moeller [D], Rep. Christian Mitchell [D], Rep. Rita Mayfield [D], Rep. Scott Drury [D], Rep. Ann Williams [D], Rep. Linda LaVia [D], Rep. Natalie Manley [D], Rep. Daniel Burke [D], Rep. Luis Arroyo [D], Rep. Gregory Harris [D], Rep. Sam Yingling [D], Rep. Michelle Mussman [D], Rep. Sonya Harper [D], Rep. Carol Sente [D], Rep. Emily McAsey [D], Sen. Toi Hutchinson [D], Sen. Kimberly Lightford [D], Sen. Heather Steans [D], Sen. Jacqueline Collins [D], Sen. Melinda Bush [D], Sen. Laura Murphy [D], Sen. Patricia Van Pelt [D], Sen. Julie Morrison [D], Sen. Linda Holmes [D], Sen. Don Harmon [D], Sen. Daniel Biss [D], Sen. Iris Martinez [D], Sen. Michael Hastings [D], Sen. Emil Jones [D], Sen. Mattie Hunter [D], Sen. William Delgado [D], Sen. Martin Sandoval [D]",49,31,18,0.6326530612,,,,,,,,0,49,0,0,0,1
Illinois,2015,fer_treat,SB 1764,Mandates insurance coverage for diagnosis and treatment of infertility services. ,"Sen. Don Harmon [D]	Rep. Camille Lilly [D]	Sen. Sara Feigenholtz [D]	Rep. Cynthia Soto [D]
Rep. Jehan Gordon-Booth [D]","Sen. Don Harmon [D], Rep. Camille Lilly [D], Sen. Sara Feigenholtz [D], Rep. Cynthia Soto [D], Rep. Jehan Gordon-Booth [D]",5,4,1,0.8,,,,,,,,0,5,0,0,0,1
Illinois,2015,vase,HB 5576,Mandates insurance coverage for vasectomies.,"Rep. Elaine Nekritz [D]	Rep. Litesa Wallace [D]	Rep. Silvana Tabares [D]	Sen. Sara Feigenholtz [D]
Rep. Martin Moylan [D]	Rep. Robyn Gabel [D]	Rep. Jaime Andrade [D]	Rep. Carol Ammons [D]
Rep. Kelly Cassidy [D]	Rep. Emanuel Welch [D]	Sen. Laura Fine [D]	Sen. Robert Martwick [D]
Rep. William Davis [D]	Rep. Camille Lilly [D]	Rep. Will Guzzardi [D]	Rep. Cynthia Soto [D]
Rep. Elizabeth Hernandez [D]	Rep. Anna Moeller [D]	Rep. Christian Mitchell [D]	Rep. Rita Mayfield [D]
Rep. Scott Drury [D]	Rep. Ann Williams [D]	Rep. Linda LaVia [D]	Rep. Natalie Manley [D]
Rep. Daniel Burke [D]	Rep. Luis Arroyo [D]	Rep. Gregory Harris [D]	Rep. Sam Yingling [D]
Rep. Michelle Mussman [D]	Rep. Sonya Harper [D]	Rep. Carol Sente [D]	Rep. Emily McAsey [D]
Sen. Toi Hutchinson [D]	Sen. Kimberly Lightford [D]	Sen. Heather Steans [D]	Sen. Jacqueline Collins [D]
Sen. Melinda Bush [D]	Sen. Laura Murphy [D]	Sen. Patricia Van Pelt [D]	Sen. Julie Morrison [D]
Sen. Linda Holmes [D]	Sen. Don Harmon [D]	Sen. Daniel Biss [D]	Sen. Iris Martinez [D]
Sen. Michael Hastings [D]	Sen. Emil Jones [D]	Sen. Mattie Hunter [D]	Sen. William Delgado [D]
Sen. Martin Sandoval [D]","Rep. Elaine Nekritz [D], Rep. Litesa Wallace [D], Rep. Silvana Tabares [D], Sen. Sara Feigenholtz [D], Rep. Martin Moylan [D], Rep. Robyn Gabel [D], Rep. Jaime Andrade [D], Rep. Carol Ammons [D], Rep. Kelly Cassidy [D], Rep. Emanuel Welch [D], Sen. Laura Fine [D], Sen. Robert Martwick [D], Rep. William Davis [D], Rep. Camille Lilly [D], Rep. Will Guzzardi [D], Rep. Cynthia Soto [D], Rep. Elizabeth Hernandez [D], Rep. Anna Moeller [D], Rep. Christian Mitchell [D], Rep. Rita Mayfield [D], Rep. Scott Drury [D], Rep. Ann Williams [D], Rep. Linda LaVia [D], Rep. Natalie Manley [D], Rep. Daniel Burke [D], Rep. Luis Arroyo [D], Rep. Gregory Harris [D], Rep. Sam Yingling [D], Rep. Michelle Mussman [D], Rep. Sonya Harper [D], Rep. Carol Sente [D], Rep. Emily McAsey [D], Sen. Toi Hutchinson [D], Sen. Kimberly Lightford [D], Sen. Heather Steans [D], Sen. Jacqueline Collins [D], Sen. Melinda Bush [D], Sen. Laura Murphy [D], Sen. Patricia Van Pelt [D], Sen. Julie Morrison [D], Sen. Linda Holmes [D], Sen. Don Harmon [D], Sen. Daniel Biss [D], Sen. Iris Martinez [D], Sen. Michael Hastings [D], Sen. Emil Jones [D], Sen. Mattie Hunter [D], Sen. William Delgado [D], Sen. Martin Sandoval [D]",49,31,18,0.6326530612,,,,,,,,0,49,0,0,0,1
Illinois,2016,contra_otc_script,HB 5576,Mandated insurance coverage for FDA approved over-the-counter contraceptives with prescription.,"Rep. Elaine Nekritz [D], Rep. Litesa Wallace [D], Rep. Silvana Tabares [D], Sen. Sara Feigenholtz [D], Rep. Martin Moylan [D], Rep. Robyn Gabel [D], Rep. Jaime Andrade [D], Rep. Carol Ammons [D], Rep. Kelly Cassidy [D], Rep. Emanuel Welch [D], Sen. Laura Fine [D], Sen. Robert Martwick [D], Rep. William Davis [D], Rep. Camille Lilly [D], Rep. Will Guzzardi [D], Rep. Cynthia Soto [D], Rep. Elizabeth Hernandez [D], Rep. Anna Moeller [D], Rep. Christian Mitchell [D], Rep. Rita Mayfield [D], Rep. Scott Drury [D], Rep. Ann Williams [D], Rep. Linda LaVia [D], Rep. Natalie Manley [D], Rep. Daniel Burke [D], Rep. Luis Arroyo [D], Rep. Gregory Harris [D], Rep. Sam Yingling [D], Rep. Michelle Mussman [D], Rep. Sonya Harper [D], Rep. Carol Sente [D], Rep. Emily McAsey [D], Sen. Toi Hutchinson [D], Sen. Kimberly Lightford [D], Sen. Heather Steans [D], Sen. Jacqueline Collins [D], Sen. Melinda Bush [D], Sen. Laura Murphy [D], Sen. Patricia Van Pelt [D], Sen. Julie Morrison [D], Sen. Linda Holmes [D], Sen. Don Harmon [D], Sen. Daniel Biss [D], Sen. Iris Martinez [D], Sen. Michael Hastings [D], Sen. Emil Jones [D], Sen. Mattie Hunter [D], Sen. William Delgado [D], Sen. Martin Sandoval [D]","Rep. Elaine Nekritz [D], Rep. Litesa Wallace [D], Rep. Silvana Tabares [D], Sen. Sara Feigenholtz [D], Rep. Martin Moylan [D], Rep. Robyn Gabel [D], Rep. Jaime Andrade [D], Rep. Carol Ammons [D], Rep. Kelly Cassidy [D], Rep. Emanuel Welch [D], Sen. Laura Fine [D], Sen. Robert Martwick [D], Rep. William Davis [D], Rep. Camille Lilly [D], Rep. Will Guzzardi [D], Rep. Cynthia Soto [D], Rep. Elizabeth Hernandez [D], Rep. Anna Moeller [D], Rep. Christian Mitchell [D], Rep. Rita Mayfield [D], Rep. Scott Drury [D], Rep. Ann Williams [D], Rep. Linda LaVia [D], Rep. Natalie Manley [D], Rep. Daniel Burke [D], Rep. Luis Arroyo [D], Rep. Gregory Harris [D], Rep. Sam Yingling [D], Rep. Michelle Mussman [D], Rep. Sonya Harper [D], Rep. Carol Sente [D], Rep. Emily McAsey [D], Sen. Toi Hutchinson [D], Sen. Kimberly Lightford [D], Sen. Heather Steans [D], Sen. Jacqueline Collins [D], Sen. Melinda Bush [D], Sen. Laura Murphy [D], Sen. Patricia Van Pelt [D], Sen. Julie Morrison [D], Sen. Linda Holmes [D], Sen. Don Harmon [D], Sen. Daniel Biss [D], Sen. Iris Martinez [D], Sen. Michael Hastings [D], Sen. Emil Jones [D], Sen. Mattie Hunter [D], Sen. William Delgado [D], Sen. Martin Sandoval [D]",49,32,17,0.6530612245,,,,,,,,0,49,0,0,0,1
Illinois,2016,contra_script,HB 5576,Mandated insurance coverage for FDA-Approved contraceptives with a prescription. ,"Rep. Elaine Nekritz [D], Rep. Litesa Wallace [D], Rep. Silvana Tabares [D], Sen. Sara Feigenholtz [D], Rep. Martin Moylan [D], Rep. Robyn Gabel [D], Rep. Jaime Andrade [D], Rep. Carol Ammons [D], Rep. Kelly Cassidy [D], Rep. Emanuel Welch [D], Sen. Laura Fine [D], Sen. Robert Martwick [D], Rep. William Davis [D], Rep. Camille Lilly [D], Rep. Will Guzzardi [D], Rep. Cynthia Soto [D], Rep. Elizabeth Hernandez [D], Rep. Anna Moeller [D], Rep. Christian Mitchell [D], Rep. Rita Mayfield [D], Rep. Scott Drury [D], Rep. Ann Williams [D], Rep. Linda LaVia [D], Rep. Natalie Manley [D], Rep. Daniel Burke [D], Rep. Luis Arroyo [D], Rep. Gregory Harris [D], Rep. Sam Yingling [D], Rep. Michelle Mussman [D], Rep. Sonya Harper [D], Rep. Carol Sente [D], Rep. Emily McAsey [D], Sen. Toi Hutchinson [D], Sen. Kimberly Lightford [D], Sen. Heather Steans [D], Sen. Jacqueline Collins [D], Sen. Melinda Bush [D], Sen. Laura Murphy [D], Sen. Patricia Van Pelt [D], Sen. Julie Morrison [D], Sen. Linda Holmes [D], Sen. Don Harmon [D], Sen. Daniel Biss [D], Sen. Iris Martinez [D], Sen. Michael Hastings [D], Sen. Emil Jones [D], Sen. Mattie Hunter [D], Sen. William Delgado [D], Sen. Martin Sandoval [D]","Rep. Elaine Nekritz [D], Rep. Litesa Wallace [D], Rep. Silvana Tabares [D], Sen. Sara Feigenholtz [D], Rep. Martin Moylan [D], Rep. Robyn Gabel [D], Rep. Jaime Andrade [D], Rep. Carol Ammons [D], Rep. Kelly Cassidy [D], Rep. Emanuel Welch [D], Sen. Laura Fine [D], Sen. Robert Martwick [D], Rep. William Davis [D], Rep. Camille Lilly [D], Rep. Will Guzzardi [D], Rep. Cynthia Soto [D], Rep. Elizabeth Hernandez [D], Rep. Anna Moeller [D], Rep. Christian Mitchell [D], Rep. Rita Mayfield [D], Rep. Scott Drury [D], Rep. Ann Williams [D], Rep. Linda LaVia [D], Rep. Natalie Manley [D], Rep. Daniel Burke [D], Rep. Luis Arroyo [D], Rep. Gregory Harris [D], Rep. Sam Yingling [D], Rep. Michelle Mussman [D], Rep. Sonya Harper [D], Rep. Carol Sente [D], Rep. Emily McAsey [D], Sen. Toi Hutchinson [D], Sen. Kimberly Lightford [D], Sen. Heather Steans [D], Sen. Jacqueline Collins [D], Sen. Melinda Bush [D], Sen. Laura Murphy [D], Sen. Patricia Van Pelt [D], Sen. Julie Morrison [D], Sen. Linda Holmes [D], Sen. Don Harmon [D], Sen. Daniel Biss [D], Sen. Iris Martinez [D], Sen. Michael Hastings [D], Sen. Emil Jones [D], Sen. Mattie Hunter [D], Sen. William Delgado [D], Sen. Martin Sandoval [D]",49,32,17,0.6530612245,,,,,,,,0,49,0,0,0,1
Illinois,2017,contra_no_share,HB 2617,No cost sharing for over the counter FDA approved contraceptives.,"Rep. Robyn Gabel [D], Rep. Steven Andersson [R], Sen. Laura Fine [D], Rep. Jay Hoffman [D], Rep. Michael Zalewski [D], Rep. Kelly Cassidy [D], Rep. Jaime Andrade [D], Rep. Will Guzzardi [D], Rep. Anna Moeller [D], Rep. Lawrence Walsh [D], Sen. Terri Bryant [R], Rep. Justin Slaughter [D], Sen. Michael Halpin [D], Rep. Katie Stuart [D], Rep. Camille Lilly [D], Rep. Latoya Greenwood [D], Rep. Silvana Tabares [D], Rep. Deborah Conroy [D], Rep. Marcus Evans [D], Sen. Laura Murphy [D], Sen. Cristina Castro [D], Sen. Heather Steans [D], Sen. Linda Holmes [D], Sen. James Clayborne [D], Sen. David Koehler [D], Sen. Terry Link [D], Sen. Julie Morrison [D], Sen. Antonio Munoz [D], Sen. Omar Aquino [D], Sen. John Mulroe [D]","Rep. Robyn Gabel [D], Rep. Steven Andersson [R], Sen. Laura Fine [D], Rep. Jay Hoffman [D], Rep. Michael Zalewski [D], Rep. Kelly Cassidy [D], Rep. Jaime Andrade [D], Rep. Will Guzzardi [D], Rep. Anna Moeller [D], Rep. Lawrence Walsh [D], Sen. Terri Bryant [R], Rep. Justin Slaughter [D], Sen. Michael Halpin [D], Rep. Katie Stuart [D], Rep. Camille Lilly [D], Rep. Latoya Greenwood [D], Rep. Silvana Tabares [D], Rep. Deborah Conroy [D], Rep. Marcus Evans [D], Sen. Laura Murphy [D], Sen. Cristina Castro [D], Sen. Heather Steans [D], Sen. Linda Holmes [D], Sen. James Clayborne [D], Sen. David Koehler [D], Sen. Terry Link [D], Sen. Julie Morrison [D], Sen. Antonio Munoz [D], Sen. Omar Aquino [D], Sen. John Mulroe [D]",30,15,15,0.5,,,,,,,,0,28,2,0,0,0.9333333333
Illinois,2018,fer_treat,HB 2617,Mandates insurance coverage for diagnosis and treatment of infertility services. ,"Rep. Robyn Gabel [D]	Rep. Steven Andersson [R]	Sen. Laura Fine [D]	Rep. Jay Hoffman [D]
Rep. Michael Zalewski [D]	Rep. Kelly Cassidy [D]	Rep. Jaime Andrade [D]	Rep. Will Guzzardi [D]
Rep. Anna Moeller [D]	Rep. Lawrence Walsh [D]	Sen. Terri Bryant [R]	Rep. Justin Slaughter [D]
Sen. Michael Halpin [D]	Rep. Katie Stuart [D]	Rep. Camille Lilly [D]	Rep. Latoya Greenwood [D]
Rep. Silvana Tabares [D]	Rep. Deborah Conroy [D]	Rep. Marcus Evans [D]	Sen. Laura Murphy [D]
Sen. Cristina Castro [D]	Sen. Heather Steans [D]	Sen. Linda Holmes [D]	Sen. James Clayborne [D]
Sen. David Koehler [D]	Sen. Terry Link [D]	Sen. Julie Morrison [D]	Sen. Antonio Munoz [D]
Sen. Omar Aquino [D]	Sen. John Mulroe [D]","Rep. Robyn Gabel [D], Rep. Steven Andersson [R], Sen. Laura Fine [D], Rep. Jay Hoffman [D], Rep. Michael Zalewski [D], Rep. Kelly Cassidy [D], Rep. Jaime Andrade [D], Rep. Will Guzzardi [D], Rep. Anna Moeller [D], Rep. Lawrence Walsh [D], Sen. Terri Bryant [R], Rep. Justin Slaughter [D], Sen. Michael Halpin [D], Rep. Katie Stuart [D], Rep. Camille Lilly [D], Rep. Latoya Greenwood [D], Rep. Silvana Tabares [D], Rep. Deborah Conroy [D], Rep. Marcus Evans [D], Sen. Laura Murphy [D], Sen. Cristina Castro [D], Sen. Heather Steans [D], Sen. Linda Holmes [D], Sen. James Clayborne [D], Sen. David Koehler [D], Sen. Terry Link [D], Sen. Julie Morrison [D], Sen. Antonio Munoz [D], Sen. Omar Aquino [D], Sen. John Mulroe [D]",30,15,15,0.5,,,,,,,,0,28,2,0,0,0.9333333333
Illinois,2019,abor_man,SB 25,"Requires abortion coverage in all private plans, including ACA Marketplace plans: 2020","Sen. Melinda Bush [D], Sen. Elgie Sims [D], Sen. Linda Holmes [D], Sen. Cristina Castro [D], Sen. Omar Aquino [D], Sen. Kimberly Lightford [D], Sen. Robert Peters [D], Sen. Iris Martinez [D], Sen. Mattie Hunter [D], Sen. Emil Jones [D], Sen. Ann Gillespie [D], Sen. Michael Hastings [D], Sen. Ram Villivalam [D], Sen. Martin Sandoval [D], Sen. Laura Fine [D], Sen. Don Harmon [D], Rep. Kelly Cassidy [D], Rep. Emanuel Welch [D], Sen. Sara Feigenholtz [D], Rep. Marcus Evans [D], Rep. Jehan Gordon-Booth [D], Sen. Karina Villa [D], Rep. Will Guzzardi [D], Rep. Elizabeth Hernandez [D], Rep. Jennifer Gong-Gershowitz [D], Sen. Diane Pappas [D], Rep. Nicholas Smith [D], Rep. Latoya Greenwood [D], Rep. Ann Williams [D], Rep. Deborah Conroy [D], Rep. Daniel Didech [D], Rep. Anne Stava-Murray [D], Rep. Anna Moeller [D], Rep. Gregory Harris [D], Sen. Celina Villanueva [D], Rep. Katie Stuart [D], Rep. Barbara Hernandez [D], Rep. Robyn Gabel [D], Rep. Michelle Mussman [D], Sen. John Connor [D], Rep. Jonathan Carroll [D], Rep. Jaime Andrade [D], Rep. Kathleen Willis [D], Rep. Carol Ammons [D], Rep. Delia Ramirez [D], Rep. Justin Slaughter [D], Sen. Robert Martwick [D], Rep. Sonya Harper [D], Rep. Jawaharial Williams [D], Rep. Natalie Manley [D], Rep. Aaron Ortiz [D], Rep. Bob Morgan [D]","Sen. Melinda Bush [D], Sen. Elgie Sims [D], Sen. Linda Holmes [D], Sen. Cristina Castro [D], Sen. Omar Aquino [D], Sen. Kimberly Lightford [D], Sen. Robert Peters [D], Sen. Iris Martinez [D], Sen. Mattie Hunter [D], Sen. Emil Jones [D], Sen. Ann Gillespie [D], Sen. Michael Hastings [D], Sen. Ram Villivalam [D], Sen. Martin Sandoval [D], Sen. Laura Fine [D], Sen. Don Harmon [D], Rep. Kelly Cassidy [D], Rep. Emanuel Welch [D], Sen. Sara Feigenholtz [D], Rep. Marcus Evans [D], Rep. Jehan Gordon-Booth [D], Sen. Karina Villa [D], Rep. Will Guzzardi [D], Rep. Elizabeth Hernandez [D], Rep. Jennifer Gong-Gershowitz [D], Sen. Diane Pappas [D], Rep. Nicholas Smith [D], Rep. Latoya Greenwood [D], Rep. Ann Williams [D], Rep. Deborah Conroy [D], Rep. Daniel Didech [D], Rep. Anne Stava-Murray [D], Rep. Anna Moeller [D], Rep. Gregory Harris [D], Sen. Celina Villanueva [D], Rep. Katie Stuart [D], Rep. Barbara Hernandez [D], Rep. Robyn Gabel [D], Rep. Michelle Mussman [D], Sen. John Connor [D], Rep. Jonathan Carroll [D], Rep. Jaime Andrade [D], Rep. Kathleen Willis [D], Rep. Carol Ammons [D], Rep. Delia Ramirez [D], Rep. Justin Slaughter [D], Sen. Robert Martwick [D], Rep. Sonya Harper [D], Rep. Jawaharial Williams [D], Rep. Natalie Manley [D], Rep. Aaron Ortiz [D], Rep. Bob Morgan [D]",52,31,21,0.5961538462,,,,,,,,0,52,0,0,0,1
